flightKey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,wp_dcourse_1,wp_dcourse_2,wp_dcourse_3,wp_dcourse_4,wp_hdistance_1,wp_hdistance_2,wp_hdistance_3,wp_hdistance_4,wp_vdistance_1,wp_vdistance_2,wp_vdistance_3,wp_vdistance_4,step
6126372.0,1.8217706,41.1135454,1062025.4314201172,737797.8852760877,36000.0,168.87678381144846,171.32719546442775,44.58731870741269,240.5667724609375,0.0,0.03453987850758722,0.0,14553.888671875,0.03453987850758722,,,,14553.888433446631,,,,0.0,,,,1564760190.0
6127213.0,1.08323,40.584152,1003299.5861315806,675584.1086743152,36000.0,221.02744684337716,129.67395033904663,59.60040160316635,256.25860595703125,0.0,16.07722660213244,0.0,100103.921875,20.72705981639092,17.2589400406178,16.379895898897303,16.07722660213244,18632.76197325373,43684.65319852513,75186.64589799682,100103.92323118934,0.0,0.0,0.0,0.0,1564760190.0
6127256.0,0.584903,41.341198,957186.5893424009,757334.9775381612,38000.0,250.71151770449555,6.72928528872629,88.46250742421239,250.8018035888672,0.0,0.024410197186455207,0.0,112756.21875,0.07615455376969749,0.02334336292176431,0.024410197186455207,,47417.29440033074,92358.33618919176,112756.2206699356,,0.0,0.0,0.0,,1564760190.0
6127284.0,1.053583,42.265404,990876.474479133,861751.6706013839,38000.0,-68.36026313717011,210.47374807077384,342.00659993189083,221.2969207763672,0.0,-10.34799434794337,0.0,56749.23046875,-9.866725232215913,-10.34799434794337,,,18862.59962197345,56749.23075531535,,,0.0,0.0,,,1564760190.0
6127324.0,1.3057218,41.613226,1015694.4327096941,790605.8059334585,36000.0,29.473766815871933,228.8984429317682,7.337232851847432,230.7882080078125,0.0,5.047913097253911,0.0,111199.609375,-45.38341281613941,-0.026410864071294782,5.047913097253911,,31357.51972051422,92737.8358621229,111199.60820368816,,0.0,0.0,0.0,,1564760190.0
6127330.0,0.796343,41.337627,974867.1988637839,757807.4741633118,36000.0,263.79847369740406,6.812244788180881,88.5207414470571,263.88641357421875,0.0,0.08842914506084298,0.0,95069.3046875,0.18367034798353643,0.08868987662202699,0.08842914506084298,,29730.401989422106,74671.41729883684,95069.3018644786,,0.0,0.0,0.0,,1564760190.0
6127344.0,0.648538,40.300316,968117.144798913,642262.7876953778,37000.0,-146.29320117185515,-149.14798168241202,224.44638122994098,208.918212890625,0.0,-2.6316720280418338,4000.0,219997.90625,0.0409909049587327,-0.14335529514062273,-0.11088262597169773,-0.028845775918171057,6920.9103693777315,47860.07074934747,75981.68850849784,132356.97127316758,-4000.0,-4000.0,-4000.0,-4000.0,1564760190.0
6127353.0,-0.247975,39.418812,895827.9864672549,541256.4505871454,37000.0,-199.77069907910192,64.262142936637,287.83191993905734,209.85223388671875,0.0,-7.360890905337669,0.0,80727.3984375,0.0321192840109461,-6.983447126909482,-7.360890905337669,,21467.901670956904,71006.47352923587,80727.40170082223,,0.0,0.0,0.0,,1564760190.0
6127376.0,1.6194594000000004,41.76441840000001,1040782.8622698726,808864.9288950034,38000.0,-39.363303634745535,218.4032839103563,349.78314042538454,221.92221069335938,0.0,8.875266112247232,0.0,109265.8984375,8.875266112247232,,,,109265.90269005168,,,,0.0,,,,1564760190.0
6127390.0,1.6636363999999997,41.48159500000001,1046330.6959456124,777753.6074050346,36000.0,-40.13619136592218,222.10467724894795,349.7567139755084,225.7020263671875,0.0,5.167390425326516,2000.0,139075.640625,-0.12097612508375732,-0.1018710535018954,5.167390425326516,,32349.020587475476,106488.96275967099,139075.6467056065,,2000.0,2000.0,2000.0,,1564760190.0
