AIRAC	airblockID	geometry(WKT)
20220703	247LE	POLYGON ((-1 40, -1.04055555555556 39.9116666666667, -1.25 39.15, -1.39444444444444 39, -1.7525 39.4055555555556, -1.83333333333333 39.5, -1.74527777777778 39.5388888888889, -1.65 39.5666666666667, -1.48833333333333 39.8144444444444, -1.36666666666667 40, -1 40, -1 40))
20220703	099LE	POLYGON ((1.72805555555556 42.5044444444444, 1.80888888888889 42.0247222222222, 1.81833333333333 41.9702777777778, 1.85638888888889 41.7558333333333, 1.88277777777778 41.6066666666667, 1.89055555555556 41.5633333333333, 1.93722222222222 41.2836111111111, 1.95027777777778 41.2055555555556, 1.96722222222222 41.1041666666667, 1.97805555555556 41.0430555555556, 1.98583333333333 40.9988888888889, 2.04444444444444 40.6530555555556, 2.05361111111111 40.6005555555556, 2.10888888888889 40.2961111111111, 2.26361111111111 40.0144444444444, 1.9675 39.7244444444444, 1.40694444444444 39.705, 0.629722222222222 39.6452777777778, 0.842222222222222 40.2097222222222, 1.07583333333333 40.3733333333333, 0.537222222222222 40.7036111111111, 0.255555555555556 40.7047222222222, 0.584166666666667 41.5669444444444, 0.713888888888889 42.0316666666667, 0.7775 42.2561111111111, 0.733333333333333 42.85, 0.75 42.8452777777778, 0.861944444444444 42.8158333333333, 0.997222222222222 42.7747222222222, 1.11388888888889 42.7752777777778, 1.22944444444444 42.7244444444444, 1.375 42.6944444444444, 1.44027777777778 42.6063888888889, 1.42666666666667 42.5919444444444, 1.42388888888889 42.5422222222222, 1.44777777777778 42.5405555555556, 1.46416666666667 42.5169444444444, 1.43083333333333 42.4852777777778, 1.43722222222222 42.4775, 1.46472222222222 42.4411111111111, 1.51277777777778 42.4352777777778, 1.54888888888889 42.4405555555556, 1.6475 42.4711111111111, 1.67138888888889 42.5038888888889, 1.69694444444444 42.4930555555556, 1.72805555555556 42.5044444444444, 1.72805555555556 42.5044444444444))
20220703	105LE	POLYGON ((1.85638888888889 41.7558333333333, 1.88277777777778 41.6066666666667, 1.89055555555556 41.5633333333333, 1.93722222222222 41.2836111111111, 1.95027777777778 41.2055555555556, 1.96722222222222 41.1041666666667, 1.97805555555556 41.0430555555556, 1.98583333333333 40.9988888888889, 1.61722222222222 40.7477777777778, 1.32805555555556 40.5486111111111, 1.07583333333333 40.3733333333333, 0.537222222222222 40.7036111111111, 0.255555555555556 40.7047222222222, 0.584166666666667 41.5669444444444, 0.713888888888889 42.0316666666667, 1.1325 41.8705555555556, 1.81833333333333 41.9702777777778, 1.85638888888889 41.7558333333333, 1.85638888888889 41.7558333333333))
20220703	106LE	POLYGON ((0.733333333333333 42.85, 0.7775 42.2561111111111, 0.713888888888889 42.0316666666667, 0.584166666666667 41.5669444444444, 0.255555555555556 40.7047222222222, 0.158333333333333 40.7052777777778, -0.0247222222222222 40.2316666666667, -0.331111111111111 40.2308333333333, -0.413888888888889 40.2333333333333, -0.589444444444444 40.2319444444444, -0.925555555555556 40.2308333333333, -0.772222222222222 40.7041666666667, -0.616666666666667 41.1166666666667, -0.391666666666667 41.7833333333333, -0.291666666666667 42.1, -0.0666666666666667 42.7, 0.151111111111111 42.7322222222222, 0.366666666666667 42.7, 0.416666666666667 42.7, 0.558333333333333 42.6930555555556, 0.733333333333333 42.85, 0.733333333333333 42.85))
20220703	245LE	POLYGON ((-2.15833333333333 41.0333333333333, -2.15833333333333 40.7805555555556, -2.15833333333333 40.7333333333333, -2.15833333333333 40.0888888888889, -2.91805555555556 39.5902777777778, -3.19444444444444 39.5833333333333, -3.20416666666667 39.5830555555556, -3.14916666666667 39.7333333333333, -2.9625 40.2408333333333, -2.91055555555556 40.3808333333333, -2.86666666666667 40.5, -2.84916666666667 40.7783333333333, -2.83333333333333 41.0333333333333, -2.5 41.0333333333333, -2.41666666666667 41.0333333333333, -2.15833333333333 41.0333333333333, -2.15833333333333 41.0333333333333))
20220703	303LE	POLYGON ((-3.36638888888889 39.1386111111111, -3.20361111111111 39.1380555555556, -3.20361111111111 39, -3.41666666666667 39, -3.36638888888889 39.1386111111111, -3.36638888888889 39.1386111111111))
20220703	249LE	POLYGON ((-1.7525 39.4055555555556, -1.39444444444444 39, -1.48277777777778 39, -2.915 39, -2.99166666666667 39, -2.98333333333333 39.0666666666667, -2.9 39.2, -2.75 39.2666666666667, -1.7525 39.4055555555556, -1.7525 39.4055555555556))
20220703	122LE	POLYGON ((1.72805555555556 42.5044444444444, 1.80888888888889 42.0247222222222, 1.81833333333333 41.9702777777778, 1.1325 41.8705555555556, 0.713888888888889 42.0316666666667, 0.7775 42.2561111111111, 0.733333333333333 42.85, 0.75 42.8452777777778, 0.861944444444444 42.8158333333333, 0.997222222222222 42.7747222222222, 1.11388888888889 42.7752777777778, 1.22944444444444 42.7244444444444, 1.375 42.6944444444444, 1.44027777777778 42.6063888888889, 1.42666666666667 42.5919444444444, 1.42388888888889 42.5422222222222, 1.44777777777778 42.5405555555556, 1.46416666666667 42.5169444444444, 1.43083333333333 42.4852777777778, 1.43722222222222 42.4775, 1.46472222222222 42.4411111111111, 1.51277777777778 42.4352777777778, 1.54888888888889 42.4405555555556, 1.6475 42.4711111111111, 1.67138888888889 42.5038888888889, 1.69694444444444 42.4930555555556, 1.72805555555556 42.5044444444444, 1.72805555555556 42.5044444444444))
20220703	104LE	POLYGON ((1.07583333333333 40.3733333333333, 1.32805555555556 40.5486111111111, 1.61722222222222 40.7477777777778, 1.98583333333333 40.9988888888889, 2.04444444444444 40.6530555555556, 2.05361111111111 40.6005555555556, 2.10888888888889 40.2961111111111, 2.26361111111111 40.0144444444444, 1.9675 39.7244444444444, 1.40694444444444 39.705, 0.629722222222222 39.6452777777778, 0.842222222222222 40.2097222222222, 1.07583333333333 40.3733333333333, 1.07583333333333 40.3733333333333))
20220703	215LE	POLYGON ((-2.15833333333333 41.0333333333333, -2 41.0333333333333, -1.88666666666667 41.0333333333333, -1.77694444444444 41.0333333333333, -1.68722222222222 41.0333333333333, -1.57777777777778 41.0333333333333, -1.33333333333333 41.0333333333333, -0.616666666666667 41.1166666666667, -0.772222222222222 40.7041666666667, -0.925555555555556 40.2308333333333, -0.971388888888889 40.0880555555556, -1 40, -1.36666666666667 40, -1.48833333333333 39.8144444444444, -1.65 39.5666666666667, -1.74527777777778 39.5388888888889, -1.83333333333333 39.5, -1.7525 39.4055555555556, -2.75 39.2666666666667, -2.9 39.2, -2.98333333333333 39.0666666666667, -2.99166666666667 39, -3.04583333333333 39, -3.1 39, -3.20361111111111 39, -3.20361111111111 39.1380555555556, -3.36638888888889 39.1386111111111, -3.20416666666667 39.5830555555556, -3.19444444444444 39.5833333333333, -2.91805555555556 39.5902777777778, -2.15833333333333 40.0888888888889, -2.15833333333333 40.7333333333333, -2.15833333333333 40.7805555555556, -2.15833333333333 41.0333333333333, -2.15833333333333 41.0333333333333))
